epoch,training_chroma_l1,validation_chroma_l1,validation_full_l1,training_generator_loss,training_discriminator_loss,skipped_training_images
11,0.0055453849474145535,0.0059867911354184395,0.004968162154276381,0.742873700706578,0.6930717920457324,804.0
12,0.005452087862435885,0.005359644343954706,0.004634188253138143,0.7432353921635094,0.6954323211138314,804.0
13,0.004918457899105311,0.004690556836438845,0.004264196677816073,0.7372114939642593,0.6931511322211766,804.0
14,0.0049718927131269545,0.004852302458989929,0.004306420946382087,0.7377043986075453,0.6931073565556767,804.0
15,0.005243910574967674,0.00640287683446884,0.005412995317133717,0.7397285940088723,0.6931215983761122,804.0
16,0.005458869877988835,0.004992497409376689,0.004405554494889052,0.7414940297245168,0.6930956157159969,804.0
17,0.0054528419900047405,0.005225680148792365,0.004633321231662497,0.7414255957628039,0.6930920155637694,804.0
18,0.00544398341589364,0.005965281395896335,0.005060379902073448,0.7414369184179763,0.6930830151902192,804.0
19,0.005433517470371348,0.0056254592404398835,0.004812807459079684,0.7413997410608975,0.6930777997304115,804.0
20,0.005427417153110961,0.00540900775789707,0.004719109823343621,0.741325958611888,0.6930736663452874,804.0
21,0.005431622538994268,0.005655400219629709,0.004901252036574182,0.741235192057549,0.6930823663890713,804.0
22,0.00543358686092546,0.005084276528222034,0.004646533436322082,0.7412355422058234,0.6930873114790982,804.0
23,0.005428886378671848,0.0052989066803031054,0.004579709421422038,0.7410542065208311,0.6930839672848975,804.0
24,0.005431948367469012,0.005806736583879842,0.004924486807930697,0.7410378356895799,0.6930738400939523,804.0
25,0.005424436668112387,0.005794992481360887,0.004843140020712763,0.7410670381846151,0.6930815452549671,804.0
26,0.005420164949588049,0.005648345538803277,0.004636943660554672,0.7408722047308604,0.6930831316994355,804.0
27,0.005416029607156732,0.005462920440015781,0.004568564908944415,0.7408166145687233,0.6930865531144295,804.0
28,0.00541148671882213,0.0055625077301499305,0.004563950137958459,0.7407925979850886,0.6930827613908475,804.0
29,0.005417217016419365,0.005421704953226796,0.0046986655993209465,0.7407820888430559,0.693082427961872,804.0
30,0.0054105221945002085,0.005929785917008077,0.00506462128858313,0.7405880638060901,0.6930807454572574,804.0
31,0.005407443813534334,0.005090650506139979,0.004280731746196057,0.7405295429299359,0.6930820088900402,804.0
32,0.005403817013286822,0.005919793373664045,0.00482848112824137,0.7404799700466114,0.6930798921518749,804.0
33,0.005409621651961616,0.005538333715536005,0.004838190800117009,0.7405429295049066,0.6930807116481886,804.0
34,0.005399032713744342,0.005397543824742211,0.00445836345399971,0.7404426531630184,0.6930846310988741,804.0
35,0.005398096414523157,0.0057298430032287125,0.0047873869144969316,0.7403139640032923,0.6930821989298828,804.0
36,0.005397220911993349,0.005643910456357437,0.004702233713328311,0.7403592283887542,0.693087551889395,804.0
37,0.005392746409598674,0.005550265841297704,0.004526101534917179,0.7402658404672862,0.6930910696527904,804.0
38,0.005394412920263592,0.0057780646404368185,0.004871094777637063,0.7402862648650628,0.6930821970203804,804.0
39,0.005386850834312829,0.005285690997394781,0.004309801103887263,0.7401643809964852,0.6930926019759786,804.0
40,0.005392325619390243,0.006249137970870133,0.0051236590412407305,0.7402923958672937,0.6930865040418753,804.0
41,0.005393384306303531,0.006017920552126109,0.0049939172377946916,0.7403746818793715,0.6930863245611943,804.0
42,0.005406736433029137,0.005226180058769496,0.0044278090120590105,0.7404959691555711,0.693075176730004,804.0
43,0.0054151278771793114,0.005734456753946983,0.004657672411998181,0.740926467611953,0.6930651952918837,804.0
44,0.005460079583116411,0.005473586727360045,0.004629671031720834,0.7417393487836308,0.6929976853307517,804.0
45,0.005492071202335397,0.005890631295070661,0.0051069731221404895,0.7422865521373707,0.6929621726936975,804.0
46,0.0055209649513612,0.005454137119050937,0.00467810405250791,0.7431235074670092,0.6929145053562834,804.0
47,0.005504778840862013,0.005484883234853925,0.004675279427015245,0.742737555389646,0.6929617560702798,804.0
48,0.00552115278611072,0.006167884702268958,0.004951887601499296,0.7430796862807596,0.6929435436702175,804.0
49,0.005509619761393217,0.005394284537173706,0.004541390488299792,0.742536883315606,0.6930276864414,804.0
50,0.005491043816344168,0.005644912271169128,0.004676810244215038,0.7421932817452914,0.6930664165842725,804.0
51,0.005470143696678698,0.005190046784424855,0.004505404393247022,0.7418188014517693,0.6930975286863568,804.0
52,0.0054750716418541226,0.006163080588708903,0.005039162616999135,0.74194452731011,0.6930991466087871,804.0
53,0.005454421195967559,0.005572287795928177,0.004752407264350139,0.7414932109656349,0.6931006915039096,804.0
54,0.005433361213776005,0.005457980344351127,0.004581735649701888,0.7412176110625625,0.6931034171652555,804.0
55,0.005436022510346942,0.006000284091201522,0.004939246267633517,0.7411486098528444,0.693085360611961,804.0
56,0.005446091255585684,0.005650888898788015,0.004884141164118734,0.7414781314672557,0.693047376743585,804.0
57,0.005428771750723765,0.005890226718520477,0.004984488842846465,0.741113068225846,0.6931227947417008,804.0
58,0.0054450149083397105,0.0060492936825019385,0.004878991970421914,0.7411322546104309,0.6930940392311195,804.0
59,0.0054430884150071385,0.005032118602226963,0.004423815607060285,0.7413123736617389,0.6930574996859,804.0
60,0.005453918524520597,0.005543209460363482,0.004606017121684811,0.741421665332355,0.6930725084349391,804.0
61,0.005440975160479597,0.0057046908901735366,0.0048311896794742066,0.7415118219283016,0.6930397919559091,804.0
62,0.005470842083909598,0.005839366080208963,0.004835173117037487,0.7419393218805783,0.6929957804982102,804.0
63,0.005504182962459954,0.00608325867040707,0.004829818304699188,0.7429171142043164,0.6929635189248853,804.0
64,0.005505713791436903,0.005620686952735244,0.0047166675836741116,0.7427810386130429,0.6929513989169079,804.0
65,0.005518709349656934,0.0053663254801782825,0.004471765895442636,0.7433976824151635,0.6929410254984267,804.0
66,0.005558074156842616,0.005340385684053279,0.004484864202396543,0.7447476801579928,0.6927301368643235,804.0
67,0.005596470139198256,0.005481239813646398,0.004424431025017591,0.7454609701256205,0.6927771573120973,804.0
68,0.0055888390570781035,0.005583798101714911,0.004446964312918302,0.7452997829165793,0.6928276436077649,804.0
69,0.00555219071092552,0.006040595522866019,0.004903280308561486,0.7444185221466031,0.6929767739146456,804.0
70,0.005570927301865314,0.0059573948696732765,0.004902303618142935,0.7448179202461693,0.692826035348148,804.0
