resolution,method,images,ciede2000,cpsnr_rgb,fsim_luma,mae_rgb_255,mse_rgb_255,ssim_luma
4K,conventional/bicubic,80,0.4866586419790194,51.34902052228929,0.9996382459998131,0.4288181079820828,0.4794401557139001,0.9985733734022474
4K,conventional/bilinear,80,0.4840692668399865,51.24170302913523,0.9996355272829532,0.4285375795839782,0.4925239637559245,0.9985761181835915
4K,prism_cartesian_prob,80,0.4928546290584138,51.259091993943095,0.999640516191721,0.43404973741235126,0.48990876093940355,0.9985740783902253
4K,prism_polar,80,0.49758808987899517,51.13340134210568,0.9996396757662296,0.4405435684727844,0.504525374967044,0.998563083494561
4K,prism_polar_prob,80,0.512315105114563,50.82389157832988,0.9996427394449711,0.45791938309823804,0.5431037783178518,0.9985577074464907
4K,prism_residual,80,0.49490895032619464,51.20387054777162,0.9996402136981487,0.43691669259192156,0.4961320668412841,0.99857073979441
4K,scaled_decode_first/bicubic,80,0.12621644174050628,56.99674046107066,0.9999980002641677,0.11118794450072624,0.1392565139687697,0.9998014043604597
4K,scaled_decode_first/bilinear,80,0.13285680655963894,56.29171120223674,0.999997715651989,0.11971814829025806,0.1645632848725166,0.9997812656351036
4K,scaled_hybrid/bicubic,80,0.3863201221625477,51.88221013970763,0.999944631010294,0.34323118435469246,0.4245651903100341,0.9994550377586631
4K,scaled_hybrid/bilinear,80,0.3595171657853989,52.12950324548178,0.999941886216402,0.3200728211395446,0.40311362230816217,0.9994854183847784
4K,scaled_lifting/bicubic,80,0.38613292319785913,51.81574461684325,0.9999427519738674,0.34488037818446954,0.4310824603882387,0.9994557036097758
4K,scaled_lifting/bilinear,80,0.3593629011638038,52.066598985376956,0.9999400846660137,0.32173152501245633,0.4089079188536919,0.9994879918551457
4K,scaled_matrix/bicubic,80,0.2250205028615486,54.80167048720822,0.9999573715031147,0.1903070913621849,0.22136188370398413,0.9996447384083142
4K,scaled_matrix/bilinear,80,0.2252223767051331,54.464104858779194,0.9999567732214928,0.1932407287718899,0.24066065721712146,0.999660824058849
4K,v5,80,1.5560256204759704,41.70450696372935,0.9992828331887722,1.6630554115173433,4.6116727121743075,0.9975670541550926
4K,v5_1,80,0.8124179291337804,45.73497896102976,0.9993456609547138,0.9989331578329887,1.8118536477322857,0.9978381389485064
4K,v6,80,0.5535829869809513,50.24705486945053,0.9996440157294273,0.49529301503617096,0.6213799646804813,0.998558024999188
4K,v7,80,0.520722891700825,50.77119887978422,0.9996481992304325,0.46308778333832745,0.549662759094345,0.9985560807502778
6K,conventional/bicubic,80,0.47082179533875346,51.216722648095704,0.9998650282621384,0.4386218117421088,0.4940179261153749,0.9985873229145786
6K,conventional/bilinear,80,0.46718447224767434,51.18847467419175,0.9998640045523643,0.43658147338618436,0.49792966083251183,0.9985884745207975
6K,prism_cartesian_prob,80,0.48192732532959165,51.02228029678937,0.9998674429953098,0.44968987941934074,0.5172363100604096,0.9985883666364722
6K,prism_polar,80,0.49317413532001314,50.79062197793172,0.9998685598373414,0.46249374373298374,0.5460609048957393,0.9985839310690336
6K,prism_polar_prob,80,0.500056857663823,50.623007786556684,0.9998679846525192,0.47244380525150276,0.5694263980396282,0.9985817094522161
6K,prism_residual,80,0.48584959665900496,50.93921611100689,0.9998684532940387,0.4541134459034039,0.5272171817163872,0.9985872744253934
6K,scaled_decode_first/bicubic,80,0.1319883419011908,56.59858888592654,0.9999994680285453,0.12459708127340038,0.15102577395567632,0.9998133661368604
6K,scaled_decode_first/bilinear,80,0.13402704820883804,56.272271029816885,0.9999994188547134,0.12840672714901746,0.16422955582947513,0.9997983513721301
6K,scaled_hybrid/bicubic,80,0.3681935866594689,51.87798436289617,0.9999713405966759,0.34448990383961925,0.42437061990634645,0.9994957613542973
6K,scaled_hybrid/bilinear,80,0.3367135570411998,52.2708852118411,0.9999704219400882,0.31531275107458406,0.38956747852395185,0.9995288436903496
6K,scaled_lifting/bicubic,80,0.3681290559879021,51.82405027227934,0.999969944357872,0.34613746729905204,0.42973084831201713,0.9994961606461567
6K,scaled_lifting/bilinear,80,0.33686293212983714,52.21641645647911,0.9999690540134907,0.3171177148208411,0.39452116807191023,0.9995305073600128
6K,scaled_matrix/bicubic,80,0.22750751880968914,54.46764404524711,0.9999840281903744,0.20639923402201837,0.23763718108241982,0.999662476363405
6K,scaled_matrix/bilinear,80,0.2244189280892571,54.34338498720332,0.9999838232994079,0.20563434587420445,0.2458017498815072,0.9996781149485706
6K,v5,80,1.5492051290147995,41.25744081020683,0.9996473707258702,1.792338821139811,5.380321616004985,0.9978855841552267
6K,v5_1,80,0.7871862334956955,45.55282826211745,0.999692601710558,1.0327571899931993,1.9592115827168124,0.9979330399708132
6K,v6,80,0.525486475537092,50.2151311408095,0.999868854880333,0.4962723687567992,0.6265106644641897,0.9985814862565049
6K,v7,80,0.5063986340630018,50.59120211878916,0.9998710356652737,0.47609680774633145,0.5739953362322734,0.998585976918752
8K,conventional/bicubic,80,0.5062345668466081,51.26205551280703,0.9999045059084892,0.4378172589656139,0.4891580431841356,0.9985792992117216
8K,conventional/bilinear,80,0.500683477571618,51.29628484903887,0.9999037593603134,0.4336911445775478,0.4856387793754707,0.9985801085250973
8K,prism_cartesian_prob,80,0.5170395212772987,51.09332221979223,0.999906625598669,0.44792859578381145,0.5087450358050402,0.9985763853069576
8K,prism_polar,80,0.5294324437254988,50.8773991490306,0.9999070942401886,0.4603874855214506,0.535012130602694,0.9985730850257549
8K,prism_polar_prob,80,0.5354113922179046,50.74394496699496,0.9999076321721077,0.4687732588436409,0.5525869891849253,0.9985704470656093
8K,prism_residual,80,0.522944771260654,50.99047991348076,0.9999062635004521,0.45378311716676695,0.5211228445982952,0.9985762481563729
8K,scaled_decode_first/bicubic,80,0.13916032751890053,56.85656484786821,0.9999996155500412,0.12058618865216872,0.14349725147875178,0.9998171736758419
8K,scaled_decode_first/bilinear,80,0.13997304230548827,56.699781579026194,0.9999995686113834,0.12259941703949312,0.14979676432648847,0.9998016729600877
8K,scaled_hybrid/bicubic,80,0.38880456383065193,51.94613805643153,0.9999819830060005,0.3419617263205916,0.4183212344464708,0.9994917094657272
8K,scaled_hybrid/bilinear,80,0.3537256686470447,52.42469342331774,0.9999814987182617,0.3107171051621411,0.37608260887931944,0.9995240571782877
8K,scaled_lifting/bicubic,80,0.3892157096014245,51.88611407397438,0.9999797843396664,0.3438327848134934,0.42419519712162224,0.9994923249360418
8K,scaled_lifting/bilinear,80,0.3543531853060932,52.36320585750061,0.9999793313443661,0.3127317894093673,0.38147557541904087,0.999526340796327
8K,scaled_matrix/bicubic,80,0.24415378207880503,54.568309065900564,0.9999879188835621,0.20473093940731518,0.23233959179410996,0.9996619609810028
8K,scaled_matrix/bilinear,80,0.23931230834309658,54.56174758916187,0.9999878197908402,0.20204551209561836,0.23349300674936374,0.9996778882169328
8K,v5,80,1.5090714303575392,41.97635310075904,0.9996788829565049,1.6178620887521424,4.408382973578941,0.9977403059711387
8K,v5_1,80,0.7957031744900221,46.359609340850184,0.9997112452983856,0.9150198570008266,1.537465280801453,0.9979191404102646
8K,v6,80,0.5616667600756531,50.3586616275402,0.99990648701787,0.49138784407300296,0.6058685743564484,0.998569442805857
8K,v7,80,0.5392074459165171,50.74159042511415,0.9999123468995095,0.46946786228373866,0.5541298344920669,0.9985747790147619
