dataset,id,resolution,sampling,method,width,height,rgb_sha256,ciede2000,cpsnr_rgb,fsim_luma,mae_rgb_255,mse_rgb_255,ssim_luma
kodak,kodim01.png,,center_box,conventional/bicubic,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.7147028780794203,47.9322175581551,0.9999234080314636,0.6262554592556424,1.0467876858181424,0.9995372654674041
kodak,kodim01.png,,center_box,conventional/bilinear,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.7936436633589707,46.9433077631465,0.9999232292175293,0.7017890082465278,1.3144666883680556,0.9995352370139684
kodak,kodim01.png,,center_box,prism_cartesian_prob,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.7273292336701855,48.0993009052992,0.9999240040779114,0.6358083089192709,1.0072801378038194,0.99953683836884
kodak,kodim01.png,,center_box,prism_polar,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.7151757780428731,48.31015144623593,0.9999234676361084,0.6264250013563368,0.9595447116427951,0.9995360910555604
kodak,kodim01.png,,center_box,prism_polar_prob,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.717916691967457,48.22984279821692,0.9999231100082397,0.633194817437066,0.9774534437391493,0.9995349759840053
kodak,kodim01.png,,center_box,prism_residual,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.7257661985550757,48.1272891413377,0.9999240636825562,0.6350953843858507,1.000809563530816,0.9995360358869682
kodak,kodim01.png,,center_box,scaled_matrix/bicubic,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.623117203417517,48.582582699277175,0.9999690651893616,0.5358233981662326,0.9012018839518229,0.9997964426666834
kodak,kodim01.png,,center_box,scaled_matrix/bilinear,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.7107095559116668,47.45230425033302,0.9999675154685974,0.6183819240993924,1.1690953572591145,0.9997912668761857
kodak,kodim01.png,,center_box,v5,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,1.5991835008840614,41.42550431494789,0.9997893571853638,1.7050230238172743,4.683062235514323,0.9992429247459989
kodak,kodim01.png,,center_box,v5_1,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.8542315439636862,45.374877520211186,0.9997910857200623,1.0093426174587674,1.8862211439344618,0.9993001256891512
kodak,kodim01.png,,center_box,v6,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.6871780398731646,48.85419490252868,0.9999240040779114,0.5944196912977431,0.8465660942925347,0.9995365520260477
kodak,kodim01.png,,center_box,v7,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.7460720974532982,47.74784440016985,0.9999236464500427,0.6557540893554688,1.0921842787000868,0.9995311468514244
kodak,kodim01.png,,cosited_point,conventional/bicubic,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.6742551338427388,48.70281597896852,0.9999209642410278,0.5702777438693576,0.8765945434570312,0.9995220775051321
kodak,kodim01.png,,cosited_point,conventional/bilinear,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.6325419874461126,49.31418648913901,0.9999202489852905,0.524062262641059,0.7614856296115451,0.9995176313642962
kodak,kodim01.png,,cosited_point,prism_cartesian_prob,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,1.0552217583760226,44.46547303328998,0.9999228119850159,0.9316363864474826,2.3255894978841147,0.9995230676066932
kodak,kodim01.png,,cosited_point,prism_polar,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,1.0027901238419004,44.71228294909798,0.9999234676361084,0.8936886257595487,2.197111341688368,0.9995233322150143
kodak,kodim01.png,,cosited_point,prism_polar_prob,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.9263505654973904,45.389227544305925,0.9999241232872009,0.8250825670030382,1.8799989488389757,0.9995245104102874
kodak,kodim01.png,,cosited_point,prism_residual,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,1.1226541295848949,43.884710069531316,0.9999235272407532,0.9935701158311632,2.6583328247070312,0.9995239721385627
kodak,kodim01.png,,cosited_point,scaled_decode_first/bicubic,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.4833872881614775,49.97712518933903,0.9999750256538391,0.40378401014539933,0.6536839803059896,0.99983761020277
kodak,kodim01.png,,cosited_point,scaled_decode_first/bilinear,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.43528341822697425,50.842359905572145,0.9999732375144958,0.35081397162543404,0.5356046888563368,0.9998232662568046
kodak,kodim01.png,,cosited_point,scaled_hybrid/bicubic,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.5900149074092368,48.78130630808916,0.9999738335609436,0.5075870090060763,0.8608940972222222,0.9998232016867087
kodak,kodim01.png,,cosited_point,scaled_hybrid/bilinear,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.5229773244696355,49.70188224175522,0.9999738335609436,0.4372999403211806,0.6964535183376737,0.999827436920815
kodak,kodim01.png,,cosited_point,scaled_lifting/bicubic,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.5901680433559181,48.77121709068789,0.999973475933075,0.5081770155164931,0.8628963894314237,0.9998216215451338
kodak,kodim01.png,,cosited_point,scaled_lifting/bilinear,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.5233756417473795,49.68711144615922,0.9999732971191406,0.43822648790147567,0.6988262600368924,0.9998252558798593
kodak,kodim01.png,,cosited_point,scaled_matrix/bicubic,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.527443086475044,49.67325711611798,0.999971330165863,0.44177500406901044,0.7010591295030382,0.9998165970434817
kodak,kodim01.png,,cosited_point,scaled_matrix/bilinear,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.4756494529723409,50.4938511751826,0.9999720454216003,0.38522762722439235,0.5803570217556424,0.9998213210666154
kodak,kodim01.png,,cosited_point,v5,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,1.7349842412526941,39.97354245129495,0.9997789263725281,1.8055623372395833,6.542234632703993,0.9992136410462853
kodak,kodim01.png,,cosited_point,v5_1,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,1.3646366561751584,42.00427695248002,0.9997836351394653,1.387420654296875,4.098761664496528,0.9992793262300589
kodak,kodim01.png,,cosited_point,v6,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,1.0827807091277728,44.70735100110889,0.999923825263977,0.9575559828016493,2.1996078491210938,0.9995258599837793
kodak,kodim01.png,,cosited_point,v7,768,512,a00210743353594464ac67e680a41710f484444ca5f9dfddeb570de25c428273,0.9411385944800159,45.47283490933209,0.9999225735664368,0.8330086602105035,1.8441526624891493,0.9995243194742757
